target_point;heading;velocity;acceleration;stay_point
yes;-2.81261;-0.846171;-0.639845;yes
no;-3.13346;-0.894092;-0.61163;no
no;-2.89953;-0.868053;-0.638651;no
no;-5.68476;0.738744;0.613013;no
no;-5.9143;0.833975;0.638774;no
no;-4.43079;-0.248471;0.016249;no
no;-1.24349;0.287457;0.013002;no
no;-3.12059;-2.32153;-0.481644;yes
no;-3.32774;-2.28192;-0.475128;no
no;-3.12614;-2.32176;-0.481738;no
yes;-6.13589;2.2969;0.475492;no
no;-6.33412;2.31903;0.48172;no
no;-4.77913;0.154853;0.023891;no
no;-1.56756;0.007507;0.009824;no
yes;-3.06208;-0.916731;-0.48147;yes
no;-3.40816;-0.887155;-0.460549;no
no;-3.17139;-0.919228;-0.481049;no
no;-5.95838;0.871552;0.461599;no
no;-6.19068;0.915704;0.481137;no
no;-4.70516;-0.006648;0.012349;no
no;-1.51773;0.048777;0.009741;no
no;-3.18808;-2.39161;-0.481187;yes
no;-3.41298;-2.30657;-0.475289;no
no;-3.21011;-2.38858;-0.481685;no
yes;-6.22544;2.39021;0.475673;no
no;-6.4249;2.3702;0.481659;no
no;-4.8681;0.371297;0.024728;no
no;-1.65507;-0.201528;0.009693;no
yes;-3.05589;-0.965047;-0.481472;yes
no;-3.40416;-0.935406;-0.460224;no
no;-3.16476;-0.968342;-0.481059;no
no;-5.95024;0.91541;0.46134;no
no;-6.18509;0.963946;0.481157;no
no;-4.69903;-0.012936;0.012424;no
no;-1.51176;0.057145;0.00959;no
no;-3.19274;-2.4852;-0.400973;yes
no;-3.42901;-2.38637;-0.396556;no
no;-3.226;-2.47959;-0.401706;no
yes;-6.24351;2.48649;0.396715;no
no;-6.44481;2.45602;0.401695;no
no;-4.86113;0.368768;0.010483;no
no;-1.68348;-0.279804;0.004012;no
yes;-3.04651;-1.02059;-0.401489;yes
no;-3.3993;-0.991367;-0.383764;no
no;-3.1585;-1.02508;-0.401239;no
no;-5.94015;0.96549;0.384237;no
no;-6.17864;1.01963;0.40128;no
no;-4.68057;-0.032619;0.005158;no
no;-1.51628;0.055869;0.003967;no
no;-3.1913;-2.52482;-0.480807;yes
no;-3.42609;-2.42633;-0.475482;no
no;-3.22094;-2.51999;-0.481598;no
yes;-6.24339;2.52594;0.475859;no
no;-6.44508;2.49489;0.48157;no
no;-4.88602;0.436716;0.02587;no
no;-1.67072;-0.252172;0.009643;no
yes;-3.06045;-1.07543;-0.481526;yes
no;-3.41084;-1.04011;-0.459565;no
no;-3.16619;-1.07866;-0.48108;no
no;-5.94795;1.01892;0.460722;no
no;-6.18789;1.07409;0.481177;no
no;-4.70125;-0.012014;0.012478;no
no;-1.51398;0.061269;0.009537;no
no;-3.13825;-2.66936;-0.481129;yes
no;-3.3626;-2.60445;-0.475496;no
no;-3.15701;-2.66906;-0.481586;no
yes;-6.1799;2.65515;0.475846;no
no;-6.38201;2.65635;0.481565;no
no;-1.63221;-0.163836;-0.002315;no
no;-1.60725;-0.097287;0.009715;no
no;-4.79097;0.209535;0.010586;no
yes;-3.1187;-1.09164;-0.481301;yes
no;-3.48041;-1.02984;-0.459303;no
no;-3.23268;-1.0874;-0.481118;no
no;-6.0137;1.05251;0.460433;no
no;-6.2566;1.09154;0.481203;no
no;-4.7691;0.061887;0.012509;no
no;-1.58157;-0.011764;0.009629;no
no;-6.44321;2.6722;0.481467;yes
no;-3.41715;-2.60467;-0.475659;no
no;-3.21027;-2.7004;-0.481516;no
yes;-6.23824;2.70405;0.475977;no
no;-6.4416;2.67289;0.481503;no
no;-1.70471;-0.361394;-0.009965;no
no;-1.6637;-0.251099;0.009802;no
no;-4.8474;0.364343;0.010495;no
yes;-3.20541;-0.98899;-0.48052;yes
no;-3.5938;-0.891395;-0.458997;no
no;-3.34184;-0.971204;-0.481179;no
no;-6.12272;0.978276;0.460106;no
no;-6.36967;0.987303;0.481251;no
no;-4.88063;0.16594;0.012619;no
no;-1.69266;-0.120467;0.009732;no
no;-6.72584;2.35942;0.455104;yes
no;-3.41032;-2.51737;-0.475708;no
no;-3.20148;-2.6064;-0.481459;no
yes;-6.23336;2.60784;0.476077;no
no;-6.43864;2.57959;0.48143;no
no;-1.658;-0.227393;0.009563;no
no;-4.84144;0.336035;0.01061;no
yes;-3.2311;-1.10764;-0.480228;yes
no;-3.62797;-0.983128;-0.45884;no
no;-3.37353;-1.08232;-0.481218;no
no;-6.15546;1.10304;0.460055;no
no;-6.40485;1.10387;0.481305;no
no;-4.91408;0.222779;0.012786;no
no;-1.72633;-0.172273;0.009457;no
no;-1.5933;-0.057243;0.01749;yes
no;-3.36935;-2.47799;-0.396754;no
no;-3.15876;-2.54331;-0.401521;no
yes;-6.19198;2.53311;0.397042;no
no;-6.39895;2.52666;0.401503;no
no;-1.61683;-0.117051;0.008038;no
no;-4.80021;0.223116;0.008762;no
yes;-3.17457;-1.18961;-0.400618;yes
no;-3.57062;-1.08238;-0.382458;no
no;-3.31376;-1.17265;-0.401365;no
no;-6.09413;1.16904;0.383447;no
no;-6.34585;1.18792;0.40143;no
no;-4.85482;0.168958;0.010647;no
no;-1.66693;-0.114245;0.007964;no
no;-2.8499;-2.40991;-0.304662;yes
no;-3.32275;-2.47502;-0.315811;no
no;-3.1106;-2.51499;-0.319597;no
yes;-6.14489;2.49217;0.31604;no
no;-6.35337;2.51;0.319583;no
no;-1.57002;0.001948;0.006382;no
no;-4.75331;0.102933;0.006959;no
yes;-3.13446;-1.22238;-0.318855;yes
no;-3.53433;-1.12934;-0.304228;no
no;-3.27461;-1.21161;-0.319506;no
no;-6.05358;1.19033;0.30503;no
no;-6.30805;1.22203;0.319557;no
no;-4.81645;0.12697;0.008506;no
no;-1.62851;-0.070507;0.006324;no
no;-2.92156;-2.39491;-0.311433;yes
no;-3.31549;-2.41707;-0.315809;no
no;-3.10146;-2.4521;-0.319567;no
yes;-6.13757;2.42811;0.316039;no
no;-6.3479;2.44894;0.319553;no
no;-1.56289;0.0194;0.006331;no
no;-4.74584;0.082086;0.006903;no
